transportation_mode,commute_distance_km,flights_per_year,diet_type,meat_consumption_kg_per_month,electricity_usage_kwh,gas_usage_therms,water_usage_gallons,recycling_percentage,new_clothes_per_month,car_type,monthly_carbon_footprint_kg,household_size,vehicle_fuel_efficiency_km_per_l,renewable_energy_percentage,heating_fuel_type
private,49.29705777072966,0,omnivore,5.859908783850878,999.3028561835166,141.30064103872516,4920.01059403405,38.531189586172765,2.6922890170640326,petrol,3779.141374526812,5,8.3,25,Gas
public,38.151938569892515,2,vegetarian,17.391720447183175,689.8664755157699,83.72346998595876,4740.893616863972,76.50815092446156,0.7436839797178152,petrol,2827.305189332638,4,9.6,59,Electric
private,5168.0,0,omnivore,0.0,0.0,0.0,0.0,"['Paper', 'Plastic']",40.0,electric,1552.0,3,19.9,71,
public,19.669698986433797,9,omnivore,14.603811150876915,456.0848027841319,178.4057012735866,690.0690008325284,28.64105190077676,3.8669718773319337,none,2247.107635743343,3,10.7,28,Gas
private,2514.0,0,omnivore,0.0,0.0,0.0,0.0,"['Paper', 'Metal']",45.0,hybrid,2224.0,3,17.0,50,
public,813.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Glass', 'Metal']",10.0,,631.0,1,12.3,56,Electric
public,21.303662214753178,4,vegetarian,11.922696767369501,650.3961091510942,196.99686436455372,2643.8411125854864,59.27984785847492,5.640159389774544,petrol,2715.089486552829,4,10.6,50,Gas
public,1657.0,0,omnivore,0.0,0.0,0.0,0.0,[],23.0,,1791.0,2,11.3,60,Electric
public,1878.0,0,omnivore,0.0,0.0,0.0,0.0,"['Plastic', 'Metal']",36.0,,2107.0,3,11.7,56,Electric
walk/bicycle,13.640948787342744,2,omnivore,13.49602782668105,494.67265774840126,63.12776088663752,1420.0275630561523,26.90414302193703,5.632345923518535,petrol,1738.3828111071105,3,10.8,45,Electric
walk/bicycle,49.72149599722587,2,vegetarian,11.145869002025456,338.07476564237203,32.56728084144478,1926.920517889351,77.41481908559032,3.5343832413872,none,1230.0432995749422,3,8.2,85,Electric
private,9664.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Paper', 'Glass', 'Metal']",22.0,lpg,4497.0,4,9.2,53,
public,36.424821108284824,2,omnivore,18.185388356840097,429.23334793816076,122.13231152177222,847.6044594443438,81.69422034844813,5.828647439449702,petrol,1950.4410077244102,3,9.7,87,Gas
private,7.416108170657809,4,omnivore,19.475796855900516,597.8058548029451,26.50313126729962,4283.1517422730385,75.35890799914348,1.7532654504923262,hybrid,2831.5532933607997,3,17.1,70,Gas
private,34.16442225540416,2,vegan,18.220895608458832,295.3612683301542,32.57045553531847,4930.898096269999,57.49767158558695,6.549984970918824,petrol,2397.8735281380077,4,10.4,66,Gas
private,36.35054685645186,2,vegetarian,16.53793671277162,120.77060912529058,84.54615546749815,4793.074175106266,77.51347372426589,6.075990475934791,none,2322.2536165612137,4,9.4,75,Gas
walk/bicycle,15.0,0,vegetarian,0.0,0.0,0.0,0.0,[],27.0,,1023.0,2,12.1,58,Electric
public,1218.0,0,vegetarian,0.0,0.0,0.0,0.0,['Glass'],17.0,,1480.0,2,11.5,57,Electric
private,42.5162424515958,0,omnivore,18.955975226952237,926.2612682653823,58.47296646508138,872.3724446378741,59.4089461760267,4.791559840914939,electric,2058.995344258175,4,19.4,62,Gas
walk/bicycle,1.8951310993422732,4,omnivore,14.881393333457503,538.5523668478149,159.52804699025918,564.7199517331933,96.12620849242978,8.094278329608137,petrol,2078.2857332985527,3,12.4,97,Gas
private,3630.0,0,vegan,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Metal']",11.0,hybrid,3088.0,3,16.2,51,
public,894.0,0,vegan,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Metal']",30.0,,2637.0,3,12.0,60,Electric
walk/bicycle,75.0,0,vegetarian,0.0,0.0,0.0,0.0,['Plastic'],6.0,,1795.0,2,11.7,52,Electric
walk/bicycle,0.0,0,omnivore,0.0,0.0,0.0,0.0,"['Paper', 'Glass', 'Metal']",2.0,,1588.0,2,11.6,62,Electric
walk/bicycle,94.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass', 'Metal']",43.0,,2093.0,3,12.2,47,Electric
public,492.0,0,omnivore,0.0,0.0,0.0,0.0,['Metal'],45.0,,1897.0,3,12.3,47,Electric
private,45.7725428855892,2,vegan,2.772147188061165,813.5229212174904,100.93858541836931,4696.309536860526,70.96776191550688,9.286216544998737,petrol,3221.350072061375,5,9.2,43,Gas
walk/bicycle,2.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass']",3.0,,1214.0,1,12.7,55,Electric
private,39.037089520161516,0,vegetarian,3.0774580712523814,494.5376342015986,131.1188731854197,928.0754977278356,58.9897816787415,2.979538843885873,petrol,1666.7949027625732,3,9.6,62,Gas
public,24.991520739440904,2,omnivore,18.86327331928797,302.0462279565708,40.12164067349169,4254.841280668733,68.54910276857989,1.2423586662564523,petrol,2571.2073095246737,3,9.9,63,Electric
private,43.52143926296691,1,omnivore,1.8880821394121616,465.369582471792,108.73446444065615,2811.9299652457635,47.92487727358336,6.56686305857376,petrol,2289.9540575295905,4,8.4,46,Gas
public,1839.0,0,vegan,0.0,0.0,0.0,0.0,"['Paper', 'Glass']",9.0,,1039.0,2,11.2,43,Electric
walk/bicycle,86.0,0,vegan,0.0,0.0,0.0,0.0,"['Paper', 'Metal']",12.0,,847.0,1,11.6,66,Electric
public,165.0,0,vegetarian,0.0,0.0,0.0,0.0,['Glass'],18.0,,2343.0,2,10.7,64,Electric
private,1969.0,0,vegan,0.0,0.0,0.0,0.0,['Paper'],15.0,electric,2851.0,2,22.6,46,
private,9486.0,0,omnivore,0.0,0.0,0.0,0.0,['Plastic'],48.0,petrol,5302.0,5,8.5,44,
walk/bicycle,17.909874246443696,0,vegetarian,4.408966053684926,729.497303390691,21.966628598509285,1134.7066432503937,50.55301349188518,5.020582300294663,petrol,1220.877679146145,2,10.4,48,Electric
walk/bicycle,50.0,0,vegan,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass', 'Metal']",12.0,,1511.0,2,11.1,53,Electric
public,537.0,0,vegetarian,0.0,0.0,0.0,0.0,['Glass'],3.0,,2128.0,2,11.9,63,Electric
walk/bicycle,88.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic']",49.0,,2067.0,3,12.1,53,Electric
private,7185.0,0,omnivore,0.0,0.0,0.0,0.0,"['Plastic', 'Metal']",30.0,electric,3859.0,4,19.0,49,
public,49.91054270697898,0,omnivore,9.48371696325668,689.1831008581689,55.102295010583255,3099.5612227310603,43.57880915662452,7.621079432865791,diesel,2373.731366079881,4,9.5,47,Electric
private,370.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Plastic', 'Metal']",41.0,lpg,2258.0,3,11.7,61,
walk/bicycle,36.0,0,vegetarian,0.0,0.0,0.0,0.0,['Plastic'],20.0,,1691.0,2,12.4,64,Electric
walk/bicycle,11.882305019655421,0,vegetarian,7.019928379096982,712.0380414705269,92.43511099345008,1106.9903122267615,47.71468522189474,9.129549683853782,diesel,1597.435648656105,3,12.1,48,Electric
walk/bicycle,2.908810406231166,2,omnivore,0.22689369294089712,199.18992573514896,102.84374962943377,1307.5248059861678,7.9127746265053585,8.154144156505264,petrol,1298.6377053819904,2,10.7,32,Electric
walk/bicycle,26.573644628848538,4,omnivore,2.9596486748226347,896.1523074425181,163.3718371237643,1649.877366896309,70.49747640368541,0.7668525830801143,hybrid,2438.817236882358,3,14.9,70,Gas
private,1420.0,0,omnivore,0.0,0.0,0.0,0.0,"['Plastic', 'Glass', 'Metal']",6.0,petrol,2373.0,2,11.9,68,
public,30.64858026047876,3,omnivore,14.909264416900516,698.7208272829113,46.62760610442558,4731.888459634316,36.15247532653251,5.186819553411181,none,3090.9955904460667,4,10.0,39,Electric
private,631.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Glass', 'Metal']",14.0,petrol,1120.0,2,11.8,47,
private,746.0,0,omnivore,0.0,0.0,0.0,0.0,['Metal'],30.0,diesel,3380.0,3,13.7,46,
public,22.140020838591727,2,omnivore,6.540449390788618,549.5094003174072,148.1481858253757,3152.574022353814,47.60242371344335,3.8503514387237048,petrol,2668.7371190790504,4,10.4,41,Gas
public,1257.0,0,omnivore,0.0,0.0,0.0,0.0,"['Paper', 'Glass']",1.0,,1886.0,2,11.8,59,Electric
public,36.18065808732055,3,vegetarian,4.759572264197558,206.88727980131202,153.321523505016,3636.977803024398,74.54615735661719,0.3830742141421728,electric,2383.8059570701325,3,19.1,68,Gas
walk/bicycle,7.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Metal']",48.0,,3280.0,3,12.3,57,Electric
private,681.0,0,vegan,0.0,0.0,0.0,0.0,"['Paper', 'Glass', 'Metal']",36.0,diesel,2223.0,2,14.5,56,
public,662.0,0,omnivore,0.0,0.0,0.0,0.0,['Metal'],50.0,,2644.0,3,11.1,55,Electric
public,390.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Plastic', 'Glass']",31.0,,2321.0,2,11.9,52,Electric
public,900.0,0,vegan,0.0,0.0,0.0,0.0,[],21.0,,2590.0,2,11.6,68,Electric
private,3.491656702450924,2,vegetarian,14.105422130489062,848.8944393076413,193.84104883147214,2255.1723869472107,91.73813077390767,8.734198801474271,diesel,2715.953980032614,4,13.9,58,Gas
private,9952.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Plastic', 'Glass', 'Metal']",6.0,electric,826.0,2,17.1,62,
private,7904.0,0,omnivore,0.0,0.0,0.0,0.0,['Paper'],8.0,hybrid,2665.0,3,12.9,58,
private,8.433422720045774,1,omnivore,3.5487643953913395,294.6366559159294,29.791117354762207,3487.4707373907195,78.67115083693872,2.9229806785595978,petrol,1827.7447336987605,3,11.3,80,Gas
public,9.629541609848275,1,omnivore,1.174157538096463,174.85650244781715,106.22122472941562,3965.240169096429,14.373878519936811,5.099591318470873,hybrid,2218.0184995143145,3,18.7,24,Electric
private,2996.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Metal']",3.0,electric,1906.0,2,24.3,62,
private,7042.0,0,omnivore,0.0,0.0,0.0,0.0,"['Paper', 'Glass', 'Metal']",31.0,hybrid,3000.0,3,15.7,61,
walk/bicycle,97.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic']",37.0,,3571.0,3,11.3,66,Electric
public,1422.0,0,omnivore,0.0,0.0,0.0,0.0,"['Paper', 'Plastic']",29.0,,1381.0,2,10.4,73,Electric
public,14.010634287264473,1,vegetarian,2.8610637085524315,294.45439425225084,21.675344502332038,3538.620795793004,62.940659247242706,2.800694207177683,none,1683.920121354785,2,10.2,84,Electric
public,1771.0,0,pescatarian,0.0,0.0,0.0,0.0,['Metal'],21.0,,1167.0,2,12.4,58,Electric
private,7450.0,0,pescatarian,0.0,0.0,0.0,0.0,['Paper'],42.0,lpg,4257.0,4,9.0,49,
public,10.40769947834373,0,omnivore,9.66908572625641,771.1528796631294,174.21325662013533,4772.764320022058,46.368378661661005,3.251070171734727,petrol,3603.398944016636,4,11.9,37,Gas
walk/bicycle,4.0,0,pescatarian,0.0,0.0,0.0,0.0,['Glass'],2.0,,2050.0,2,12.1,60,Electric
public,315.0,0,vegan,0.0,0.0,0.0,0.0,['Plastic'],2.0,,2442.0,2,12.5,55,Electric
private,8441.0,0,omnivore,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass']",17.0,petrol,4334.0,4,9.2,39,
private,21.343071954815045,4,omnivore,17.797144166853805,321.70594676869143,48.663832798202236,1083.187861582091,1.27722979994348,7.538483732205502,petrol,1648.7330470227419,3,9.4,17,Gas
private,46.882715352589585,1,omnivore,4.353597133190846,144.50500843990918,144.32920386103052,4627.640564920451,92.01500519009439,2.288223486285096,none,2671.731669781029,4,9.0,56,Gas
public,9.0,0,vegan,0.0,0.0,0.0,0.0,"['Plastic', 'Glass']",15.0,,2750.0,2,11.1,57,Electric
walk/bicycle,9.62951745150079,1,omnivore,3.9956047878813727,421.81951602484685,167.05844205885768,1175.8962339165005,63.25493084994734,9.209453193613438,petrol,1878.736633673809,3,11.2,84,Gas
walk/bicycle,24.022313896538954,3,omnivore,6.8759400996490445,262.13979144911616,97.51815537487698,4527.8039250711245,0.8956898177723382,9.56584562408797,none,2668.614832659699,4,10.5,14,Electric
public,1584.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Glass', 'Metal']",0.0,,1008.0,1,10.8,54,Electric
walk/bicycle,13.509904505851566,1,omnivore,5.966726882083265,808.9948920267503,169.04758406539509,3811.7887586211987,7.89077038523912,7.39629277266864,none,3213.5534295599655,4,10.5,14,Gas
public,1848.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Glass', 'Metal']",14.0,,1997.0,2,11.4,64,Electric
private,8374.0,0,vegan,0.0,0.0,0.0,0.0,"['Paper', 'Glass']",20.0,hybrid,4578.0,4,13.6,52,
private,7614.0,0,vegan,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass', 'Metal']",3.0,lpg,3123.0,3,9.3,60,
public,1079.0,0,omnivore,0.0,0.0,0.0,0.0,"['Plastic', 'Glass', 'Metal']",20.0,,2104.0,2,11.1,63,Electric
private,9246.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Metal']",35.0,electric,3420.0,4,18.1,54,
private,2187.0,0,omnivore,0.0,0.0,0.0,0.0,"['Paper', 'Glass']",43.0,hybrid,3923.0,3,16.9,59,
walk/bicycle,7.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Plastic', 'Glass']",16.0,,1836.0,2,12.0,64,Electric
private,9901.0,0,omnivore,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass']",25.0,diesel,4765.0,4,10.3,51,
walk/bicycle,37.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Paper', 'Glass']",32.0,,1441.0,2,11.8,68,Electric
walk/bicycle,92.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass', 'Metal']",1.0,,2234.0,2,12.2,50,Electric
private,8046.0,0,omnivore,0.0,0.0,0.0,0.0,"['Plastic', 'Metal']",11.0,petrol,4552.0,4,8.5,51,
walk/bicycle,69.0,0,pescatarian,0.0,0.0,0.0,0.0,['Plastic'],38.0,,2571.0,3,11.6,64,Electric
private,5513.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass', 'Metal']",34.0,diesel,2774.0,3,12.0,47,
walk/bicycle,94.0,0,vegetarian,0.0,0.0,0.0,0.0,['Metal'],10.0,,1771.0,2,12.0,69,Electric
public,1150.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Metal']",12.0,,923.0,2,12.5,53,Electric
walk/bicycle,37.965616720143636,1,omnivore,9.59853188601384,960.359004703879,39.524063558968024,1896.498136311608,40.59183331150494,8.398654436325945,electric,2100.7238924106905,4,20.6,58,Electric
public,691.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Plastic', 'Glass']",17.0,,1942.0,2,11.4,58,Electric
public,37.410477647101054,0,vegetarian,17.93560911899026,975.969961796761,102.67429450797397,1003.6802531000512,63.461756134162904,2.735170305232754,petrol,1855.4920020449147,3,9.2,73,Electric
walk/bicycle,50.0,0,omnivore,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass', 'Metal']",37.0,,1841.0,2,11.9,50,Electric
private,8712.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic']",29.0,electric,3392.0,4,18.8,62,
private,21.621393593400494,1,omnivore,18.73451646114099,649.181729945161,153.93685152533922,3095.2967875465106,61.5702469946099,3.444621846907193,none,3052.4747883778705,4,10.4,55,Gas
public,838.0,0,omnivore,0.0,0.0,0.0,0.0,"['Glass', 'Metal']",5.0,,2673.0,2,12.3,49,Electric
public,5.841597979312918,1,omnivore,13.801649076856418,397.75097618980396,153.41715130083864,4347.80472324938,84.81546431881029,2.5650424196516832,none,3120.419992507955,3,11.6,69,Gas
walk/bicycle,85.0,0,omnivore,0.0,0.0,0.0,0.0,"['Plastic', 'Glass', 'Metal']",29.0,,2280.0,2,11.7,53,Electric
private,35.85897395440924,2,omnivore,9.88208403037458,585.4859742150118,77.40293756045884,2917.5255964838043,73.58521996127564,8.433401527332299,none,2340.347206566262,4,9.6,67,Gas
public,1909.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass']",2.0,,1458.0,2,12.0,60,Electric
private,3960.0,0,omnivore,0.0,0.0,0.0,0.0,"['Paper', 'Plastic']",21.0,petrol,3098.0,3,10.0,61,
private,25.732667073915362,4,vegetarian,11.117539484551981,904.200380561764,25.612918646817228,833.7643512274766,87.84183187932923,7.128742440542833,electric,1422.317996893372,3,20.2,75,Gas
public,1550.0,0,vegan,0.0,0.0,0.0,0.0,"['Plastic', 'Glass', 'Metal']",41.0,,2757.0,3,12.0,71,Electric
walk/bicycle,4.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass']",11.0,,2413.0,2,11.0,72,Electric
private,3841.0,0,pescatarian,0.0,0.0,0.0,0.0,[],4.0,petrol,3824.0,3,11.2,49,
public,580.0,0,omnivore,0.0,0.0,0.0,0.0,['Glass'],8.0,,1401.0,2,12.5,44,Electric
public,1067.0,0,vegan,0.0,0.0,0.0,0.0,"['Plastic', 'Glass', 'Metal']",44.0,,1629.0,2,11.9,59,Electric
private,37.6380029376173,0,omnivore,16.375612954138553,780.5994977160914,167.64777222229958,1665.0928940907374,11.26679455958156,2.508058013335699,petrol,2818.440874232552,4,9.2,15,Gas
public,1371.0,0,omnivore,0.0,0.0,0.0,0.0,"['Plastic', 'Glass']",22.0,,1759.0,2,10.8,72,Electric
private,24.92778996669002,0,vegetarian,19.065650875318457,222.41649023793076,115.9767647676816,4618.4473361655755,49.59929424892253,6.21896409856677,none,2486.182704944709,4,10.2,58,Gas
public,74.0,0,vegan,0.0,0.0,0.0,0.0,"['Paper', 'Plastic']",19.0,,2457.0,2,12.2,61,Electric
private,7545.0,0,omnivore,0.0,0.0,0.0,0.0,"['Plastic', 'Metal']",0.0,diesel,3946.0,3,10.0,57,
public,35.74343880246368,2,vegetarian,5.954836736270501,844.5816957788911,170.71967602817728,942.3339253126161,73.47361820625163,4.826353988054217,none,2126.673232083848,3,9.0,74,Gas
private,14.387763141235494,3,omnivore,10.856050605768326,396.27030308915704,117.15431715334499,3194.820993200482,12.315373362535254,7.323682681148153,none,2522.057201188112,4,11.3,22,Gas
public,1486.0,0,vegan,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Metal']",31.0,,2453.0,3,11.1,58,Electric
private,7270.0,0,omnivore,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass', 'Metal']",43.0,electric,1244.0,3,18.6,68,
walk/bicycle,25.25465792357753,1,omnivore,4.158602374098135,967.561454515642,110.34002841969324,829.2369316296099,16.370156399543113,4.244496177851264,electric,1934.2617703358073,3,20.7,22,Electric
walk/bicycle,99.0,0,omnivore,0.0,0.0,0.0,0.0,['Glass'],12.0,,1145.0,2,11.6,60,Electric
walk/bicycle,77.0,0,omnivore,0.0,0.0,0.0,0.0,"['Glass', 'Metal']",33.0,,3847.0,3,12.2,45,Electric
private,16.99337435156018,2,omnivore,17.55076529419452,674.5367472025242,196.74575716682057,1493.9159612053559,76.53312998215667,7.5871619764436184,petrol,2828.4316252375556,4,10.6,61,Gas
public,1276.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass']",30.0,,1690.0,2,12.5,63,Electric
public,5.0,0,vegan,0.0,0.0,0.0,0.0,[],32.0,,2188.0,2,12.2,51,Electric
public,255.0,0,omnivore,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass', 'Metal']",14.0,,1496.0,2,11.2,57,Electric
walk/bicycle,21.21844152434638,1,vegetarian,13.758662727634587,398.6066777604961,148.34465680910216,3733.176657267774,13.934831768132883,6.62559015381812,hybrid,2534.6844006209094,4,16.0,24,Gas
public,774.0,0,omnivore,0.0,0.0,0.0,0.0,"['Paper', 'Glass', 'Metal']",7.0,,2269.0,2,13.1,55,Electric
public,10.571799924482317,0,vegetarian,6.493037436534264,445.6222705184118,147.41029325303037,952.0171911301725,25.5460432740218,7.365648203707613,electric,1592.4679604764938,3,26.7,50,Gas
public,1292.0,0,vegetarian,0.0,0.0,0.0,0.0,['Metal'],41.0,,1922.0,3,12.0,54,Electric
walk/bicycle,82.0,0,vegetarian,0.0,0.0,0.0,0.0,[],6.0,,1297.0,1,10.9,53,Electric
walk/bicycle,51.0,0,pescatarian,0.0,0.0,0.0,0.0,['Plastic'],6.0,,2318.0,2,11.6,56,Electric
private,0.2717672699195872,1,vegetarian,13.119896323644653,629.1931831976219,12.483741526600278,756.3266320042223,77.55161013144647,2.3601703333729898,none,951.1773807630599,2,11.9,82,Gas
